id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
0,2009-11-28,Moving,0,C09115463,0A115D7358,Jadzia,Domestic Short Hair,Tortie,Cat,9.2,Female,Adoptable Cat Glass Colony,2017-05-13,Adoption,0.0,Stray,Died in care,0,0,0
1,2009-12-08,Moving,0,D09125594,0A11675477,Gonzo,German Shepherd Dog/Mix,Tan,Dog,9.1,Male,Adoptable Dogs,2017-04-24,Adoption,0.0,Stray,Died in care,0,0,0
2,2012-08-10,Abandoned,0,D12082309,0A13253C7B,Maggie,Shep Mix/Siberian Husky,Various,Dog,6.7,Female,Adoptable Dogs,2017-04-15,Adoption,0.0,Stray,Died in care,0,0,0
3,2013-01-11,Abandoned,0,C1301091,0A13403D4D,Pretty Girl,Domestic Short Hair,Dilute tortoiseshell,Cat,8.9,Female,Stray Cats,2017-04-18,Foster,0.0,Stray,Died in care,0,0,0
4,2013-03-26,Incompatible with owner lifestyle,0,D1303720,981020007006095,Bonnie,Basenji/Mix,Brown and White,Dog,5.9,Female,Stray Dogs Beta,2013-03-30,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
5,2015-06-19,Abandoned,0,R15061738,0A48270289,Candy,American Sable/American,Brown,House Rabbit,4.5,Female,Lobby,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
6,2015-06-19,Abandoned,0,R15061739,0A13516839,Charlotte,American Sable/American,Brown,House Rabbit,4.5,Female,Lobby,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
7,2016-10-09,Abandoned,0,D16103207,981020019070093,Tennessee,Heeler/Mix,Brown and Black,Dog,3.2,Male,Special Care Dogs,2016-11-26,Foster,0.0,Stray,Died in care,0,0,0
8,2016-10-26,Abandoned,0,C16103406,981020017650993,Nova,Domestic Long Hair,Black,Cat,12.2,Female,Stray Cats,2017-03-25,Foster,0.0,Stray,"UU - untreatable, unmanageable",0,1,0
9,2016-11-21,Abandoned,0,D16113659,981020017897009,Baby,Pitbull,White,Dog,4.1,Male,Adoptable Dogs,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
10,2017-01-11,Abandoned,0,C17011137,981020021072899,Vivian,Himalayan,Seal,Cat,5.0,Female,Foster,2017-01-18,Foster,0.0,Stray,Died in care,0,0,0
11,2017-01-17,Abandoned,0,D17011163,981020021063793,Dinah,Labrador Retriever/Affenpinscher,Black,Dog,3.8,Female,Foster,2017-03-31,Foster,0.0,Stray,Died in care,0,0,0
12,2017-01-17,Abandoned,0,R17011173,0A22826225,Maxwell,American,Black,House Rabbit,3.8,Male,Lobby,2017-03-27,Foster,0.0,Stray,Died in care,0,0,0
13,2017-01-17,Abandoned,0,R17011174,0A79152900,Hammer,American,Black,House Rabbit,3.8,Male,Lobby,2017-03-27,Foster,0.0,Stray,Died in care,0,0,0
14,2017-01-22,Abandoned,0,C17011213,981020021020775,Mama Mia,Domestic Short Hair,Grey and White,Cat,3.2,Female,Adoptable Cat Glass Colony,2017-02-03,Foster,0.0,Stray,Died in care,0,0,0
15,2017-01-27,Abandoned,0,D17011254,981020021070452,Maria,Domestic Short Hair,Brown and Black,Dog,1.8,Female,Foster,2017-04-01,Adoption,0.0,Stray,Died in care,0,0,0
16,2017-01-27,Abandoned,0,C17011263,981020021068759,Mr. T,DMH/DSH,Black,Cat,9.9,Male,Foster,2017-02-15,Foster,0.0,Stray,Died in care,0,0,0
17,2017-01-31,Abandoned,0,C17011292,981020021046006,Coraline,Domestic Short Hair,Brown and Black,Cat,3.8,Female,Adoptable Cat Glass Colony,2017-04-05,Adoption,0.0,Stray,Died in care,0,0,0
18,2017-02-01,Abandoned,0,C17021304,981020021057911,Montana,Domestic Short Hair,Torbie,Cat,3.3,Female,Adoptable Cat Big Colony,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
19,2017-02-05,Rabies Monitoring,0,D17021329,0A41626799,Louise Vada,Pitbull,Black,Dog,3.2,Female,Stray Dogs Theta,2017-04-05,Reclaimed,0.0,Stray,Died in care,0,0,0
20,2017-02-11,Abandoned,0,C17021370,981020021060759,Calli,DSH/Unknown,Various,Cat,16.2,Female,Office,2017-03-07,Foster,0.0,Stray,"UU - untreatable, unmanageable",0,1,0
21,2017-02-13,Abandoned,0,C17021405,981020021035687,Gooseberry,Domestic Short Hair,Tortie,Cat,13.8,Female,Adoptable Cat Big Colony,2017-04-11,Adoption,0.0,Stray,Died in care,0,0,0
22,2017-02-14,Abandoned,0,D17021412,981020021039948,Precious,Shep Mix/Mix,Ruddy,Dog,4.8,Female,Adoptable Dogs,2017-03-21,Foster,0.0,Stray,Died in care,0,0,0
23,2017-02-16,Abandoned,0,D17021424,981020021060979,Beemo,Pitbull/Mix,Blue,Dog,6.8,Male,Stray Dogs Beta,2017-04-15,Adoption,0.0,Rabies Monitoring,Died in care,0,0,0
24,2017-02-18,Abandoned,0,C17021438,981020021046343,Ellen,British Shorthair/Unknown,Grey,Cat,11.8,Female,Office,2017-03-05,Foster,0.0,Stray,Died in care,0,0,0
25,2017-02-18,Abandoned,0,R17021441,0A51897910,Fitzgerald,American,Black,House Rabbit,3.8,Male,Lobby,2017-03-30,Foster,0.0,Stray,Died in care,0,0,0
26,2017-02-27,Marriage/Relationship split,0,D17021511,981020015101070,Zoey,Pitbull/Mix,Grey and White,Dog,2.7,Female,Stray Dogs Beta,2017-04-08,Adoption,0.0,Marriage/Relationship split,Died in care,0,0,0
27,2017-02-28,Abandoned,0,C17021519,981020021059390,Maureen,Domestic Short Hair,Brown and Black,Cat,2.7,Female,Adoptable Cat Big Colony,2017-04-02,Adoption,0.0,Stray,Died in care,0,0,0
28,2017-02-28,Abandoned,0,C17021520,981020021064555,Janet,DSH/Unknown,Grey,Cat,4.2,Female,Adoptable Cat Small Colony,2017-04-01,Adoption,0.0,Stray,Died in care,0,0,0
29,2017-03-02,Abandoned,0,C17031529,981020021039765,Ruce,DSH/Unknown,Black and White,Cat,3.8,Male,Adoptable Cat Big Colony,2017-04-04,Adoption,0.0,Stray,Died in care,0,0,0
30,2017-03-02,Abandoned,0,C17031530,981020021063627,Ramsay,DSH/Unknown,Orange and White,Cat,3.8,Male,Adoptable Cat Kennels,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
31,2017-03-04,Abandoned,0,D17031547,981020021050526,Gus,Labrador Retriever/Coonhound,Chocolate,Dog,2.8,Male,Foster,2017-04-03,Adoption,0.0,Stray,Healthy,0,0,0
32,2017-03-04,Abandoned,0,C17031548,981020021038500,Zack Attack,DSH/Unknown,Grey and White,Cat,4.8,Male,Adoptable Cat Glass Colony,2017-04-01,Adoption,0.0,Stray,Died in care,0,0,0
33,2017-03-04,Abandoned,0,C17031549,981020021071498,Buggs,DSH/Unknown,Black,Cat,1.9,Male,Adoptable Cat Glass Colony,2017-04-01,Adoption,0.0,Stray,Died in care,0,0,0
34,2017-03-06,Abandoned,0,D17031567,981020021074652,Clyde,"Golden Retriever/Poodle, Standard",Golden,Dog,6.2,Male,Adoptable Dogs,2017-03-29,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
35,2017-03-06,Abandoned,0,C17031571,981020021050917,Garden,DSH/Unknown,White,Cat,6.7,Male,Adoptable Cat Kennels,2017-03-31,Adoption,0.0,Stray,Died in care,0,0,0
36,2017-03-07,Moving,0,D17031584,982000407818195,Bella Boo!,Mastiff,Brindle,Dog,4.3,Female,Adoptable Dogs,2017-03-10,Foster,0.0,Stray,Died in care,0,0,0
37,2017-03-07,Abandoned,0,D17031585,981020021070950,Patty,Pitbull,Tan,Dog,3.4,Female,Adoptable Dogs,2017-06-05,Adoption,0.0,Stray,Died in care,0,0,0
38,2017-03-07,Abandoned,0,D17031591,981020013554158,Dibs,Pitbull/Mix,White,Dog,2.8,Male,Stray Dogs Beta,2017-04-25,Adoption,0.0,Stray,Died in care,0,0,0
39,2017-03-09,Abandoned,0,D17031600,981020021857251,Serafina,Papillon,White,Dog,6.8,Female,Foster,2017-03-16,Foster,0.0,Stray,Died in care,0,0,0
40,2017-03-09,Owner Deceased,0,C17031604,981020021043067,Zips,Domestic Short Hair,Black and White,Cat,8.7,Female,Adoptable Cat Big Colony,2017-06-16,Adoption,0.0,Stray,Died in care,0,0,0
41,2017-03-10,Abandoned,0,D17031620,981020021074093,Waylon,Beagle,Tricolour,Dog,4.7,Male,Stray Dogs Beta,2017-04-02,Adoption,0.0,Stray,Died in care,0,0,0
42,2017-03-10,Abandoned,0,C17031624,981020021055166,Jesse,DSH/Unknown,Grey and White,Cat,5.7,Female,Adoptable Cat Kennels,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
43,2017-03-11,Abandoned,0,C17031634,981020021823219,Binks,DSH/Unknown,Buff,Cat,1.8,Male,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
44,2017-03-11,Abandoned,0,C17031635,981020021850559,Bobbin,DSH/Unknown,Fawn,Cat,1.8,Male,Adoptable Cat Kennels,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
45,2017-03-11,Abandoned,0,C17031636,981020021848969,Binkie,DSH/Unknown,Buff,Cat,1.8,Male,Adoptable Cat Kennels,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
46,2017-03-11,Abandoned,0,C17031637,981020021811770,Stan,DSH/Unknown,Orange,Cat,1.8,Male,Adoptable Cat Small Colony,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
47,2017-03-11,Abandoned,0,C17031638,981020021814036,Boomer,DLH/Unknown,Orange,Cat,1.8,Male,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
48,2017-03-11,Abandoned,0,C17031639,981020021818036,Evan,DSH/Unknown,Brown,Cat,1.8,Male,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
49,2017-03-11,Abandoned,0,C17031640,981020021837935,Beaux,DSH/Unknown,Brown and Black,Cat,1.8,Female,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
50,2017-03-11,Abandoned,0,C17031641,981020021818926,Dusty,Domestic Short Hair,Seal,Cat,1.7,Female,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
51,2017-03-11,Abandoned,0,C17031642,981020021805083,Ed,Domestic Short Hair,Black and White,Cat,1.7,Male,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
52,2017-03-11,Abandoned,0,C17031643,981020021824312,Tux,Domestic Short Hair,Black and White,Cat,1.7,Male,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
53,2017-03-11,Abandoned,0,C17031644,981020021814469,Trouble,Domestic Short Hair,White,Cat,1.7,Male,Feline Nursery,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
54,2017-03-11,Abandoned,0,C17031645,981020021800503,Samantha,Domestic Short Hair,Black and White,Cat,4.7,Female,Adoptable Cat Kennels,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
55,2017-03-11,Abandoned,0,D17031646,981020021053332,Apollo,Labrador Retriever/Collie,Black,Dog,3.0,Male,Adoptable Dogs,2017-03-31,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
56,2017-03-14,Abandoned,0,R17031661,0A34570602,Hops,American Sable/American,Black,House Rabbit,2.7,Female,Foster,2017-04-04,Adoption,0.0,Stray,Died in care,0,0,0
57,2017-03-14,Abandoned,0,C17031666,981020021056387,Earl,Domestic Medium Hair,White,Cat,2.3,Male,Adoptable Cat Kennels,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
58,2017-03-15,Abandoned,0,C17031668,981020021050458,Conner,Domestic Short Hair,Black,Cat,3.7,Male,Adoptable Cat Big Colony,2017-04-26,Adoption,0.0,Stray,Died in care,0,0,0
59,2017-03-15,Abandoned,0,D17031669,981020021056520,Carol,Shep Mix/Great Dane,Black and Brown,Dog,6.9,Female,Adoptable Dogs,2017-04-01,Adoption,0.0,Stray,Died in care,0,0,0
60,2017-03-15,Abandoned,0,D17031672,982000406743590,Jynx,Bully Breed Mix/Mix,Black,Dog,5.3,Female,Adoptable Dogs,2017-04-08,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
61,2017-03-18,Abandoned,0,D17031688,0A63467901,Sisqo`,Siberian Husky/Affenpinscher,Black and White,Dog,3.9,Male,Stray Dogs Beta,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
62,2017-03-18,Abandoned,0,D17031690,981020021048400,Larry,Hound/German Shorthaired Pointer,Red,Dog,3.1,Male,Adoptable Dogs,2017-04-12,Adoption,0.0,Stray,Died in care,0,0,0
63,2017-03-18,Abandoned,0,C17031691,981020021073679,Gabby (Sage),Domestic Short Hair,Grey,Cat,16.7,Female,Adoptable Cat Kennels,2017-04-26,Foster,0.0,Stray,Died in care,0,0,0
64,2017-03-18,Abandoned,0,C17031692,981020021056756,Suzette,Domestic Short Hair,Tortie,Cat,18.2,Female,Cat room B,2017-04-13,Adoption,0.0,Moving,Died in care,0,0,0
65,2017-03-18,Abandoned,0,C17031695,981020021793437,Beyonce,Domestic Short Hair,Grey and White,Cat,2.8,Female,Adoptable Cat Big Colony,2017-03-20,Foster,0.0,Stray,Died in care,0,0,0
66,2017-03-20,Abandoned,0,D17031702,981020021052890,Earnest,Labrador Retriever/German Shepherd Dog,Black,Dog,2.2,Male,Adoptable Dogs,2017-03-31,Adoption,0.0,Stray,Died in care,0,0,0
67,2017-03-20,Abandoned,0,C17031703,981020021046869,Pepsi,Domestic Short Hair,Grey and White,Cat,2.7,Male,Adoptable Cat Kennels,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
68,2017-03-21,Abandoned,0,C17031704,981020021063692,William,Domestic Short Hair,Fawn,Cat,3.7,Male,Adoptable Cat Big Colony,2017-04-21,Adoption,0.0,Stray,Died in care,0,0,0
69,2017-03-21,Stray,0,C17031705,981020021834066,Amal Clooney,Domestic Short Hair,Black,Cat,4.8,Female,Adoptable Cat Kennels,2017-03-26,Foster,0.0,Stray,Died in care,0,0,0
70,2017-03-21,Stray,0,C17031708,0A45586466,Jordan,Domestic Medium Hair,Brown and Black,Cat,4.6,Male,Stray Cats,2017-03-28,Transfer,0.0,Stray,Died in care,0,0,0
71,2017-03-21,Abandoned,0,D17031709,981020021076139,Sadie,Boxer/Shep Mix,Brindle,Dog,9.2,Female,Adoptable Dogs,2017-04-08,Adoption,0.0,Stray,Died in care,0,0,0
72,2017-03-21,Abandoned,0,C17031710,981020021049861,Promise,Domestic Long Hair,Black,Cat,2.7,Female,Adoptable Cat Big Colony,2017-04-08,Foster,0.0,Stray,Died in care,0,0,0
73,2017-03-21,Abandoned,0,D17031711,981020021063925,Charlie,Chihuahua/Mix,Red,Dog,2.3,Male,Adoptable Dogs,2017-04-12,Adoption,0.0,Stray,Died in care,0,0,0
74,2017-03-22,Abandoned,0,C17031714,981020021850302,Benji,DMH/DSH,Black,Cat,1.7,Male,Adoptable Cat Kennels,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
75,2017-03-22,Abandoned,0,C17031715,981020021530896,Simba,DMH/DSH,Black,Cat,1.7,Male,Adoptable Cat Kennels,2017-04-06,Foster,0.0,Stray,Died in care,0,0,0
76,2017-03-22,Abandoned,0,D17031717,0A55306317,Jayce,Pitbull,Blue,Dog,5.7,Male,Stray Dogs Theta,2017-04-02,Reclaimed,0.0,Stray,Died in care,0,0,0
77,2017-03-23,Stray,0,D17031665,981020021071032,Maya,Pomeranian/Siberian Husky,Silver,Dog,2.5,Female,Dog room C,2017-03-31,Adoption,0.0,Stray,Died in care,0,0,0
78,2017-03-23,Abandoned,0,D17031721,981020021045164,Acheron,Pitbull,Grey,Dog,4.6,Male,Adoptable Dogs,2017-05-20,Adoption,0.0,Stray,Died in care,0,0,0
79,2017-03-23,Abandoned,0,D17031722,981020021067077,Renesmee,Pitbull/Mix,Brown,Dog,6.2,Female,Office,2017-05-11,Foster,0.0,Stray,Died in care,0,0,0
80,2017-03-23,Police Assist,0,D17031724,981020021051539,Luna,Pitbull/Mix,Black and White,Dog,4.7,Female,Adoptable Dogs,2017-06-07,Adoption,0.0,Police Assist,Died in care,0,0,0
81,2017-03-23,Abandoned,0,D17031725,981020021053268,Tank,American Staffordshire Terrier,Black and White,Dog,6.7,Male,Adoptable Dogs,2017-05-07,Adoption,0.0,Unsuitable Accommodation,Died in care,0,0,0
82,2017-03-24,Incompatible with owner lifestyle,0,D17031728,981020021070556,Smokey,Terrier,Grey and White,Dog,2.7,Male,Adoptable Dogs,2017-04-05,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
83,2017-03-24,Abandoned,0,H17031666,0A69308836,Magnolia,Rex,White,House Rabbit,6.1,Female,Lobby,2017-04-04,Foster,0.0,Stray,Died in care,0,0,0
84,2017-03-24,Abandoned,0,R17031732,0A93763540,Sailor,Lionhead/Jersey Wooly,White,House Rabbit,5.4,Male,Lobby,2017-04-01,Transfer,0.0,Stray,Died in care,0,0,0
85,2017-03-24,Abandoned,0,D17031734,0A1220492C,Elliot,Terrier/Beagle,Brown,Dog,9.7,Male,Adoptable Dogs,2017-04-08,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
86,2017-03-24,Abandoned,0,D17031735,981020021052561,Moto,Rat Terrier,Black and White,Dog,16.7,Male,Adoptable Dogs,2017-04-05,Adoption,0.0,Stray,Died in care,0,0,0
87,2017-03-24,Abandoned,0,C17031737,981020021077325,Beemer,Domestic Short Hair,Orange and White,Cat,1.9,Male,Adoptable Cat Kennels,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
88,2017-03-24,Stray,0,R17031740,0A79501779,Peter,Rex,Chocolate,House Rabbit,2.2,Male,Lobby,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
89,2017-03-24,Abandoned,0,R17031742,0A87440113,Cottontail,American,Brown,House Rabbit,4.2,Female,Lobby,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
90,2017-03-24,Abandoned,0,R17031743,0A36899323,Floppsy,Dutch,Brown,House Rabbit,4.2,Male,Lobby,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
91,2017-03-24,Abandoned,0,R17031744,0A30470015,Mopsy,Rex,Chocolate,House Rabbit,4.2,Female,Lobby,2017-04-12,Transfer,0.0,Stray,Died in care,0,0,0
92,2017-03-25,Biting,0,D17031745,0A26688318,Kingston,Australian Shepherd/Border Collie,Black and White,Dog,4.4,Male,Stray Dogs Theta,2017-04-04,Reclaimed,0.0,Stray,Died in care,0,0,0
93,2017-03-25,Abandoned,0,R17031747,0A97338258,Whiskers,Standard,White,Rat,4.5,Male,Lobby,2017-04-22,Adoption,0.0,Stray,Died in care,0,0,0
94,2017-03-25,Abandoned,0,R17031748,0A08071784,Racer,Standard,Grey and White,Rat,4.6,Male,Lobby,2017-04-22,Adoption,0.0,Stray,Died in care,0,0,0
95,2017-03-25,Abandoned,0,D17031749,981020021053540,Snickers,Mastiff/Mix,Tan,Dog,2.6,Male,Adoptable Dogs,2017-04-17,Adoption,0.0,Stray,"UU - untreatable, unmanageable",1,0,0
96,2017-03-25,Abandoned,0,D17031751,981020021044222,Tara,Pitbull/Labrador Retriever,Black,Dog,2.5,Female,Adoptable Dogs,2017-04-15,Foster,0.0,Stray,Died in care,0,0,0
97,2017-03-27,Abandoned,0,D17031754,981020021817417,Jelly,Border Collie/Mix,Black and White,Dog,2.8,Female,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
98,2017-03-27,Abandoned,0,D17031755,981020021788396,Peach,Border Collie/Mix,Brown,Dog,1.7,Female,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
99,2017-03-27,Abandoned,0,D17031756,981020021818666,Buster Brown,Border Collie/Mix,Brown and White,Dog,1.7,Male,Adoptable Dogs,2017-04-22,Foster,0.0,Stray,Died in care,0,0,0
100,2017-03-27,Abandoned,0,D17031757,981020021822503,Pepper,Border Collie/Mix,Brown and White,Dog,2.0,Female,Stray Dogs Beta,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
101,2017-03-27,Abandoned,0,D17031758,981020021786796,Butter,Border Collie/Mix,Brown and White,Dog,1.7,Male,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
102,2017-03-27,Abandoned,0,D17031759,981020021838440,Pistol Pete,Border Collie/Mix,Black and White,Dog,1.7,Male,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
103,2017-03-27,Abandoned,0,D17031760,981020021805080,King,Border Collie/Mix,Black and White,Dog,2.2,Male,Dog room D,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
104,2017-03-27,Abandoned,0,D17031761,981020021799874,Chutney,Border Collie/Mix,Brown and White,Dog,1.7,Female,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
105,2017-03-27,Abandoned,0,D17031762,981020021814169,Lucy Lu,Border Collie/Mix,Black and White,Dog,1.7,Female,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
106,2017-03-27,Abandoned,0,D17031763,981020021807634,Vista,Border Collie/Mix,Black and White,Dog,1.7,Female,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
107,2017-03-27,Abandoned,0,D17031764,981020021789383,Honey,Border Collie/Mix,Brown and White,Dog,1.7,Female,Adoptable Dogs,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
108,2017-03-27,Stray,0,D17031766,981020021063234,Sam,Chihuahua/Mix,Tan,Dog,13.6,Female,Stray Dogs Alpha,2017-04-22,Foster,0.0,Stray,Died in care,0,0,0
109,2017-03-27,Abandoned,0,D17031767,981020021049797,Maverick,German Shepherd Dog,Ruddy,Dog,3.6,Male,Adoptable Dogs,2017-04-02,Adoption,0.0,Stray,Died in care,0,0,0
110,2017-03-27,Abandoned,0,D17031769,981020021523069,Lola,Chihuahua,Tan,Dog,6.7,Female,Special Care Dogs,2017-05-19,Adoption,0.0,Stray,Died in care,0,0,0
111,2017-03-28,Abandoned,0,C17031770,981020021070874,Robin,DSH/Unknown,Black,Cat,8.7,Female,Adoptable Cat Middle Colony,2017-04-08,Adoption,0.0,Stray,Died in care,0,0,0
112,2017-03-28,Abandoned,0,D17031771,981020021064098,Monet,Pitbull/Mix,Brown,Dog,2.7,Female,Adoptable Dogs,2017-04-29,Adoption,0.0,Stray,Died in care,0,0,0
113,2017-03-28,Abandoned,0,D17031772,0A69583464,Blaze,Weimaraner/Terrier,Blue,Dog,2.8,Male,Stray Dogs Beta,2017-04-19,Transfer,0.0,Stray,Died in care,0,0,0
114,2017-03-28,Abandoned,0,D17031773,981020021066419,Peanut,Pit Bull Terrier,Brown,Dog,2.7,Male,Stray Dogs Beta,2017-05-03,Adoption,0.0,Moving,Died in care,0,0,0
115,2017-03-28,Abandoned,0,C17031774,0A84384329,Xavier,DSH/Unknown,Brown and Black,Cat,6.2,Male,Stray Cats,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
116,2017-03-28,Abandoned,0,C17031775,982000364502884,Sapphire,Domestic Medium Hair,Grey,Cat,4.5,Female,Stray Cats,2017-04-02,Adoption,0.0,Stray,Died in care,0,0,0
117,2017-03-28,Abandoned,0,D17031776,981020021044752,Enzo,Chihuahua/Miniature Pinscher,White,Dog,2.2,Male,Adoptable Dogs,2017-04-04,Adoption,0.0,Stray,Died in care,0,0,0
118,2017-03-28,Abandoned,0,D17031777,981020021047470,Little,Rat Terrier/Mix,Cream,Dog,7.7,Female,Adoptable Dogs,2017-04-04,Adoption,0.0,Stray,Died in care,0,0,0
119,2017-03-28,Abandoned,0,D17031778,981020021070308,Chica,Rat Terrier/Beagle,Tricolour,Dog,8.7,Female,Adoptable Dogs,2017-04-01,Adoption,0.0,Incompatible with owner lifestyle,Died in care,0,0,0
120,2017-03-31,Owner Died,0,C1703003,981020021047259,Batman,Domestic Short Hair,Black and White,Cat,11.6,Male,Adoptable Cat Big Colony,2017-04-07,Adoption,0.0,Allergies,Died in care,0,0,0
121,2017-03-31,Stray,0,C1703005,981020021073790,Marcus Antonius,Domestic Long Hair,Golden,Cat,3.6,Male,Adoptable Cat Kennels,2017-04-12,Adoption,0.0,Stray,Died in care,0,0,0
122,2017-03-31,Stray,0,C17031780,981020021517307,Grasshopper,Domestic Short Hair,Tortie,Cat,5.6,Female,Adoptable Cat Big Colony,2017-04-07,Foster,0.0,Stray,Died in care,0,0,0
123,2017-03-31,TNR - Trap/Neuter/Release,0,C1703006,981020021046235,Jay Jay,Domestic Short Hair,Orange,Cat,2.6,Male,Adoptable Cat Glass Colony,2017-04-07,Adoption,0.0,Stray,Died in care,0,0,0
124,2017-03-31,Stray,0,C1703007,981020021051952,Ginger Zee,Domestic Short Hair,Orange,Cat,3.2,Female,Adoptable Cat Kennels,2017-04-07,Adoption,0.0,Marriage/Relationship split,Died in care,0,0,0
125,2017-03-29,Unable to Afford,0,D1703001,981020021811181,Quincy,Chihuahua/Yorkshire Terrier,Brown and Black,Dog,1.8,Male,Stray Dogs Alpha,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
126,2017-03-31,Unsuitable Accommodation,0,C1703008,981020021062491,Binks,Domestic Short Hair,Black,Cat,3.7,Male,Adoptable Cat Big Colony,2017-04-27,Foster,0.0,Stray,Died in care,0,0,0
127,2017-03-29,Unable to Afford,0,D1703002,981020021821989,Tike,Chihuahua/Yorkshire Terrier,Tan and Black,Dog,1.8,Male,Stray Dogs Alpha,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
128,2017-03-29,Unable to Afford,0,D1703004,981020021786453,Rebekkah,Chihuahua/Yorkshire Terrier,Black and Tan,Dog,1.8,Female,Stray Dogs Alpha,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
129,2017-03-29,Unable to Afford,0,D1703013,981020021853914,Elizabeth,Chihuahua/Yorkshire Terrier,Brown and Black,Dog,1.8,Female,Stray Dogs Alpha,2017-03-29,Foster,0.0,Stray,Died in care,0,0,0
130,2017-03-31,Unsuitable Accommodation,0,D1703014,0A97076615,Gus,Labrador Retriever/Mix,Black and White,Dog,3.8,Male,Stray Dogs Theta,2017-04-01,Reclaimed,0.0,Stray,Died in care,0,0,0
131,2017-03-31,Incompatible with owner lifestyle,0,R1703009,0A07186845,Mike,Fancy,White and Grey,Rat,2.6,Male,Office,2017-04-01,Transfer,0.0,Stray,Died in care,0,0,0
132,2017-03-31,Incompatible with owner lifestyle,0,R1703010,0A57913592,Steve,Fancy,White and Grey,Rat,2.6,Male,Office,2017-04-01,Transfer,0.0,Stray,Died in care,0,0,0
133,2017-03-31,Incompatible with owner lifestyle,0,R1703011,0A56351686,Kevin,Fancy,White and Grey,Rat,2.6,Male,Office,2017-04-01,Transfer,0.0,Stray,Died in care,0,0,0
134,2017-03-31,Incompatible with owner lifestyle,0,R1703012,0A77116023,Harlen,Fancy,White and Grey,Rat,2.6,Unknown,Office,2017-04-01,Transfer,0.0,Stray,Died in care,0,0,0
135,2017-03-31,Incompatible with owner lifestyle,0,R1703013,0A50196007,Edward,Fancy,White and Liver,Rat,2.6,Male,Office,2017-03-31,Adoption,0.0,Stray,Died in care,0,0,0
136,2017-03-31,Incompatible with owner lifestyle,0,R1703014,0A22312322,Ike,Fancy,White and Liver,Rat,2.6,Unknown,Lobby,2017-04-09,Adoption,0.0,Stray,Died in care,0,0,0
137,2017-03-31,Incompatible with owner lifestyle,0,R1703015,0A43332929,Parker,Fancy,White and Grey,Rat,2.6,Male,Office,2017-04-01,Transfer,0.0,Stray,Died in care,0,0,0
