id,intakedate,intakereason,istransfer,sheltercode,identichipnumber,animalname,breedname,basecolour,speciesname,animalage,sexname,location,movementdate,movementtype,istrial,returnedreason,deceasedreason,diedoffshelter,puttosleep,isdoa
1057,2017-07-06,Born in Shelter,0,C1707694,981020021474708,Sid,Domestic Short Hair,Black and Brown,Cat,1.3,Male,Check-in,2017-07-06,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1058,2017-07-06,Born in Shelter,0,C1707695,981020021504972,Stella,Domestic Short Hair,Calico,Cat,1.3,Female,Check-in,2017-07-06,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1059,2017-07-07,Abandoned,0,D1707697,981020021488073,Bruno,German Shepherd Dog/Mix,Black and Tan,Dog,6.3,Male,Stray Dogs Beta,2017-08-11,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1060,2017-07-07,Stray,0,C1707698,981020021078104,Brit,Domestic Short Hair,Brown and Black,Cat,4.3,Male,Adoptable Cat Small Colony,2017-08-26,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
1061,2017-07-08,Stray,0,C1707699,981020019049333,Trainor,Domestic Short Hair,Grey,Cat,2.3,Male,Stray Cats,2017-07-09,Reclaimed,0.0,Stray,Court Order/ Legal,0,0,0
1062,2017-07-08,Stray,0,C1707700,0A10190454,Vacation,Domestic Short Hair,Black,Cat,1.7,Female,Stray Cats,2017-07-10,Transfer,0.0,Stray,Court Order/ Legal,0,0,0
1063,2017-07-08,Stray,0,C1707701,0A70327173,Holiday,Domestic Short Hair,Black,Cat,1.7,Female,Stray Cats,2017-07-10,Transfer,0.0,Stray,Court Order/ Legal,0,0,0
1064,2017-07-08,Stray,0,C1707702,0A68726058,Party Nugget,Domestic Short Hair,Grey,Cat,0.0,Male,Feline Nursery,2017-07-15,Foster,0.0,Stray,"UU - untreatable, unmanageable",0,1,0
1065,2017-07-08,Stray,0,C1707703,981020021503903,Party Nugget,Domestic Short Hair,Brown and Black,Cat,1.4,Female,Adoptable Cat Middle Colony,2017-07-15,Foster,0.0,Stray,Court Order/ Legal,0,0,0
1066,2017-07-08,Incompatible with owner lifestyle,0,C1707658,981020021068129,Poppy,Domestic Short Hair,Black,Cat,4.3,Female,Adoptable Cat Big Colony,2017-07-24,Adoption,0.0,Stray,Court Order/ Legal,0,0,0
